SUBCLASSE|DENOMINACAO|DESCRICAO|ITEM|SUBITEM|ALIQUOTA|IDCNAE 
6204000|CONSULTORIA EM TECNOLOGIA DA INFORMACAO|SERVIÇO DE ANÁLISE E DESENVOLVIMENTO  DE SISTEMA (SOFTWARE)|1|1|2|9177
6203100|DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR NAO-CUSTOMIZAVEIS|SERVIÇO DE ANÁLISE E DESENVOLVIMENTO  DE SISTEMA (SOFTWARE)|1|1|2|9178
6201500|DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA|SERVIÇO DE ANÁLISE E DESENVOLVIMENTO  DE SISTEMA (SOFTWARE)|1|1|2|9179
6202300|DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS|SERVIÇO DE ANÁLISE E DESENVOLVIMENTO  DE SISTEMA (SOFTWARE)|1|1|2|9180
6201500|DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA|SERVIÇOS DE PROGRAMAÇÃO|1|2|2|9181
6311900|TRATAMENTO DE DADOS, PROVEDORES DE SERVICOS DE APLICACAO E SERVICOS DE HOSPEDAGEM NA INTERNET|SERVIÇO DE COLETA E PROCESSAMENTO DE DADOS|1|3|2|9182
6202300|DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS|SERVIÇOS DE ELABORAÇÃO DE PROGRAMAS DE COMPUTADOR, INCLUSIVE DE JOGOS ELETRÔNICOS|1|4|2|9100
6201500|DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA|SERVIÇOS DE ELABORAÇÃO DE PROGRAMAS DE COMPUTADOR, INCLUSIVE DE JOGOS ELETRÔNICOS|1|4|2|9101
6202300|DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS|SERVIÇOS DE LICENCIAMENTO OU CESSÃO DE DIREITO DE USO DE PROGRAMAS DE COMPUTAÇÃO|1|5|2|9102
6209100|SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO|SERVIÇOS DE SUPORTE TÉCNICO EM INFORMÁTICA, INCLUSIVE INSTALAÇÃO, CONFIGURAÇÃO E MANUTENÇÃO DE PROGRAMAS DE COMPUTAÇÃO E BANCOS DE DADOS|1|7|2|11544
6319400|PORTAIS, PROVEDORES DE CONTEUDO E OUTROS SERVICOS DE INFORMACAO NA INTERNET|SERVIÇOS DE PLANEJAMENTO, CONFECÇÃO, MANUTENÇÃO E ATUALIZAÇÃO DE PÁGINAS ELETRÔNICAS|1|8|2|9114
6201500|DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA|SERVIÇOS DE PLANEJAMENTO, CONFECÇÃO, MANUTENÇÃO E ATUALIZAÇÃO DE PÁGINAS ELETRÔNICAS|1|8|2|9116
6311900|TRATAMENTO DE DADOS, PROVEDORES DE SERVICOS DE APLICACAO E SERVICOS DE HOSPEDAGEM NA INTERNET|SERVIÇOS DE PLANEJAMENTO, CONFECÇÃO, MANUTENÇÃO E ATUALIZAÇÃO DE PÁGINAS ELETRÔNICAS|1|8|2|9115
7220700|PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIENCIAS SOCIAIS E HUMANAS|SERVIÇOS DE PESQUISAS E DESENVOLVIMENTO|2|1|5|9117
7210000|PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIENCIAS FISICAS E NATURAIS|SERVIÇOS DE PESQUISAS E DESENVOLVIMENTO|2|1|5|9118
7119702|ATIVIDADES DE ESTUDOS GEOLOGICOS|SERVIÇOS DE PESQUISAS E DESENVOLVIMENTO|2|1|5|9119
7320300|PESQUISAS DE MERCADO E DE OPINIAO PUBLICA|SERVIÇOS DE PESQUISAS E DESENVOLVIMENTO|2|1|5|9121
8550302|ATIVIDADES DE APOIO A EDUCACAO, EXCETO CAIXAS ESCOLARES|SERVIÇOS DE PESQUISAS E DESENVOLVIMENTO|2|1|5|9120
7740300|GESTAO DE ATIVOS INTANGIVEIS NAO-FINANCEIROS|SERVIÇOS DE CESSÃO DE DIREITO DE USO DE MARCAS E DE SINAIS DE PROPAGANDA|3|2|5|9122
9003500|GESTAO DE ESPACOS PARA ARTES CENICAS, ESPETACULOS E OUTRAS ATIVIDADES ARTISTICAS|SERVIÇOS DE EXPLORAÇÃO DE AUDITÓRIOS E CASAS DE ESPETÁCULOS|3|3|5|9123
8230002|CASAS DE FESTAS E EVENTOS|SERVIÇOS DE EXPLORAÇÃO DE CENTRO DE CONVENÇÕES OU STANDS|3|3|5|9124
0111301|CULTIVO DE ARROZ|SERVIÇOS DE EXPLORAÇÃO DE CENTRO DE CONVENÇÕES OU STANDS|3|3|5|9126
9003500|GESTAO DE ESPACOS PARA ARTES CENICAS, ESPETACULOS E OUTRAS ATIVIDADES ARTISTICAS|SERVIÇOS DE EXPLORAÇÃO DE CENTRO DE CONVENÇÕES OU STANDS|3|3|5|9125
3311200|MANUTENCAO E REPARACAO DE TANQUES, RESERVATORIOS METALICOS E CALDEIRAS, EXCETO PARA VEICULOS|SERVIÇOS DE EXPLORAÇÃO DE CENTRO DE CONVENÇÕES OU STANDS|3|3|5|9127
9329801|DISCOTECAS, DANCETERIAS, SALOES DE DANCA E SIMILARES|SERVIÇOS DE EXPLORAÇÃO DE SALÕES DE FESTAS|3|3|5|9132
8230002|CASAS DE FESTAS E EVENTOS|SERVIÇOS DE EXPLORAÇÃO DE QUADRAS ESPORTIVAS, ESTÁDIOS, GINÁSIOS E CANCHAS|3|3|5|9131
9319101|PRODUCAO E PROMOCAO DE EVENTOS ESPORTIVOS|SERVIÇOS DE EXPLORAÇÃO DE QUADRAS ESPORTIVAS, ESTÁDIOS, GINÁSIOS E CANCHAS|3|3|5|9130
9311500|GESTAO DE INSTALACOES DE ESPORTES|SERVIÇOS DE EXPLORAÇÃO DE QUADRAS ESPORTIVAS, ESTÁDIOS, GINÁSIOS E CANCHAS|3|3|5|9129
9321200|PARQUES DE DIVERSAO E PARQUES TEMATICOS|SERVIÇOS DE EXPLORAÇÃO DE PARQUES DE DIVERSÕES|3|3|5|9128
